,Код региона,ID организации,Организация,Педагоги и мастера производственного обучения,Только педагоги,Количество программ,Размер
0,78,33,СПб ГБ ПОУ «Радиотехнический колледж»,Да,,7.0,М
1,16,1,Алексеевский аграрный колледж,Да,,7.0,М
2,16,2,Альметьевский политехнический техникум,Да,,13.0,С
3,16,3,Альметьевский профессиональный колледж,Да,,14.0,С
4,16,4,Атнинский сельскохозяйственный техникум им. Габдуллы Тукая,Да,,5.0,М
5,16,5,Казанский колледж коммунального хозяйства и строительства,Да,,9.0,М
6,16,6,Казанский политехнический колледж,Да,,12.0,С
7,16,7,Казанский энергетический колледж,Да,,6.0,М
8,16,8,Камский строительный колледж имени Е.Н.Батенчука,Да,,16.0,Б
9,16,9,Международный колледж сервиса,Да,,7.0,М
10,16,10,Набережночелнинский педагогический колледж,Да,,4.0,М
11,16,11,Набережночелнинский политехнический колледж,,Да,11.0,С
12,16,12,Нижнекамский индустриальный техникум,Да,,9.0,М
13,16,13,Нижнекамский педагогический колледж,,Да,4.0,М
14,16,14,Нижнекамский политехнический колледж имени Е.Н.Королёва,Да,,10.0,С
15,16,15,Колледж нефтехимии и нефтепереработки им. Н.В. Лемаева,Да,,18.0,Б
16,52,16,ГБПОУ Нижегородский радиотехнический колледж,Да,,19.0,Б
17,52,17,ГБПОУ Шахунский колледж аграрной индустрии ,Да,,20.0,Б
18,52,18,ГБПОУ Нижегородский колледж малого бизнеса,,Да,10.0,С
19,52,19,ГБПОУ Уренский индустриально-энергетический техникум,Да,,9.0,М
20,52,20,ГБПОУ Нижегородский губернский колледж,Да,,13.0,С
21,52,21,ГАПОУ Перевозский строительный колледж,Да,,24.0,Б
22,52,22,ГБОУ ВО Нижегородский государственный инженерно-экономический университет,Да,,48.0,Б
23,52,23,ГБПОУ Арзамасский приборостроительный колледж имени Пландина,Да,,7.0,М
24,52,24,ГБПОУ Кулебакский металлургический колледж,Да,,13.0,С
25,52,25,ГБПОУ Нижегородский индустриальный колледж,Да,,19.0,Б
26,78,26,«Колледж Петербургской моды» (СПб ГБ ПОУ КПМ),Да,,7.0,М
27,78,27,Колледж банковского дела и информационных систем,Да,,11.0,С
28,78,28,«Академия индустрии красоты «ЛОКОН»,Да,,7.0,М
29,78,29,"Пожарно-спасательный колледж ""Санкт-Петербургский центр подготовки спасателей",,Да,6.0,М
30,78,30,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Колледж электроники и приборостроения""",Да,,15.0,С
31,78,31,"СПбГБПОУ Автомеханический колледж
",Да,,7.0,М
32,78,32,Санкт-Петербургский технический колледж,Да,,12.0,С
33,77,36,IT Hub,,,,нет
34,77,38,Колледж РосНОУ,,,,нет
